region;production_volume;production_price;consumption_volume;
Карачаево-Черкесская Республика;512.2;639.7378;1427.7;
Республика Карелия;5467.9;6829.4071;7813.6;
Кемеровская область;20432.3;16570.5953;31293;
Хабаровский край и Еврейский АО;8309.1;6738.6801;10541.1;
Республика Хакасия;30086;24399.746;16586.6;
Тюменская область, Ханты-Мансийский, Ямало-Ненецкий АО;92537.1;115578.8379;86083.1;
Кировская область;4113.1;5137.2619;6989.1;
Республика Коми;9669.4;12077.0806;8573.5;
Костромская область;10356;12934.644;3387.8;
Республика Адыгея и Краснодарский край;10627.1;13273.2479;27419.3;
Республика Адыгея и Краснодарский край;10627.1;13273.2479;27419.3;
Республика Алтай и Алтайский край;5786;4692.446;10391.3;
Амурская область;16405;13304.455;9123.9;
Архангельская область и Ненецкий;6294;7861.206;7280.4;
Астраханская область;4139.3;5169.9857;4167.2;
Республика Башкортостан;24607.9;30735.2671;25569.8;
Белгородская область;751.5;938.6235;15936.6;
Брянская область;44.4;55.4556;4208.7;
Республика Бурятия;4809.6;3900.5856;5512.6;
Чеченская Республика;1314.3;1641.5607;3069.6;
Челябинская область;25528.6;31885.2214;35509.6;
Чукотский АО ;NULL;NULL;NULL;
Чувашская Республика;4520.1;5645.6049;4844.4;
г. Санкт-Петербург и Ленинградская область;59829.9;74727.5451;45248.8;
Республика Дагестан;3765.9;4703.6091;6884.9;
Республика Алтай и Алтайский край;5786;4692.446;10391.3;
Республика Ингушетия;0;0;825.3;
Ивановская область;1454.1;1816.1709;3351.2;
Кабардино-Балкарская Республика;531.1;663.3439;1712.5;
Калининградская область;6392.7;7984.4823;4361.8;
Республика Калмыкия;263.4;328.9866;734;
Калужская область;213.1;266.1619;7070.5;
Курганская область;2551;3186.199;4212.6;
Курская область;27638.5;34520.4865;8621.3;
г. Санкт-Петербург и Ленинградская область;59829.9;74727.5451;45248.8;
Липецкая область;5480.5;6845.1445;13171.6;
Магаданская область ;NULL;NULL;NULL;
Республика Марий Эл;887.6;1108.6124;2897.6;
Республика Мордовия;1382.1;1726.2429;3289.8;
г. Москва и Московская область;65729.7;82096.3953;106229.5;
г. Москва и Московская область;65729.7;82096.3953;106229.5;
Мурманская область;16492.8;20599.5072;12379.5;
Ненецкий АО;NULL;NULL;NULL;
Нижегородская область;11014.2;13756.7358;19477.8;
Республика Северная Осетия-Алания;764.7;955.1103;1708.2;
Новгородская область;2002.9;2501.6221;4325.9;
Новосибирская область;12361.7;10025.3387;15963.3;
Омская область;5817.2;4717.7492;10350.3;
Орловская область;1089.7;1361.0353;2727.7;
Оренбургская область;10980.9;13715.1441;15140.9;
Пензенская область;1006.4;1256.9936;4706.8;
Приморский край;10816.6;8772.2626;13535.9;
Псковская область;166;207.334;2177;
Ростовская область;42829.2;53493.6708;18515.8;
Рязанская область;4247.1;5304.6279;6481.2;
Республика Саха (Якутия);8368.4;6786.7724;7493.8;
Сахалинская область;NULL;NULL;NULL;
Самарская область;23620.9;29502.5041;22342.4;
Саратовская область;40841.1;51010.5339;12460.8;
Смоленская область;24606.9;30734.0181;6328.2;
Ставропольский край;13158.5;16434.9665;10233.7;
Свердловская область;56417.8;70465.8322;41347.5;
Тамбовская область;828.2;1034.4218;3437.3;
Республика Татарстан;23775.9;29696.0991;29076.7;
Томская область;2946.5;2389.6115;7611;
Тульская область;5105.3;6376.5197;10265.8;
Красноярский край и Республика Тыва;57825.6;46896.5616;47494.1;
Тверская область;35734.5;44632.3905;7953.6;
Тюменская область, Ханты-Мансийский, Ямало-Ненецкий АО;92537.1;115578.8379;86083.1;
Удмуртская Республика;3526.6;4404.7234;9057.2;
Ульяновская область;2318.7;2896.0563;5456.6;
Владимирская область;1930.5;2411.1945;6784.5;
Волгоградская область;18462.8;23060.0372;16057.1;
Вологодская область;10211.8;12754.5382;13908.9;
Воронежская область;28376.9;35442.7481;11978;
Тюменская область, Ханты-Мансийский, Ямало-Ненецкий АО;92537.1;115578.8379;86083.1;
Ярославская область;6967.1;8701.9079;8051.2;
Хабаровский край и Еврейский АО;8309.1;6738.6801;10541.1;
Республика Крым и г. Севастополя;6492.7;8109.3823;7920.7;
Республика Крым и г. Севастополя;6492.7;8109.3823;7920.7;
Красноярский край и Республика Тыва;57825.6;46896.5616;47494.1;
Иркутская область;59688.1;48407.0491;55976.4;
Забайкальский край;7260.2;5888.0222;8192.2;
Камчатский край;NULL;NULL;NULL;
Пермский край;26505.4;33105.2446;22398;
