 Karacay-Cerkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K;Карачаево-Черкесская Республика
 Karelian A.S.S.R.|Karelo-Finnish A.S.S.R.|Karel'skaya A.S.S.R.|Olonets|Olonetskaya G.|Kareliya|Republic of Karelia;Республика Карелия
 Kemerovskaya Oblast;Кемеровская область
 Khabarovskiy Kray;Хабаровский край и Еврейский АО
 Khakassiya|Republic of Khakasia|Khakasskaya A.Obl.|Respublika Khakasiya|Republic of Khakasia;Республика Хакасия
 Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok;Тюменская область, Ханты-Мансийский, Ямало-Ненецкий АО
 Vyatka|Vyatskaya G.|Kirovskaya Oblast;Кировская область
 Komi A.S.S.R.|Republic of Komi|Respublika Komi;Республика Коми
 Kostromskaya Oblast;Костромская область
 Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray;Республика Адыгея и Краснодарский край
 Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya;Республика Адыгея и Краснодарский край
 Altayskiy Kray;Республика Алтай и Алтайский край
 Amurskaya Oblast;Амурская область
 Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast;Архангельская область и Ненецкий
 Astrachan|Astrakhanskaya Oblast;Астраханская область
 Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan;Республика Башкортостан
 Belgorodskaya Oblast;Белгородская область
 Bryanskaya Oblast;Брянская область
 Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika;Республика Бурятия
 Cecenia|Chechenia|Chechenia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia;Чеченская Республика
 Chelyabinskaya Oblast;Челябинская область
 Chukotka|Chukotskiy Aok;Чукотский АО 
 Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic;Чувашская Республика
 Sankt-Peterburg gorsovet;г. Санкт-Петербург и Ленинградская область
 Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan;Республика Дагестан
 Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai;Республика Алтай и Алтайский край
 Ingouchie|Inguchetia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya;Республика Ингушетия
 Ivanovskaya Oblast;Ивановская область
 Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic;Кабардино-Балкарская Республика
 Kaliningradskaya Oblast;Калининградская область
 Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya;Республика Калмыкия
 Kaluzhskaya Oblast;Калужская область
 Kurganskaya Oblast;Курганская область
 Kurskaya Oblast;Курская область
 Saint Petersburg|Sankt-Peterburgskaya G.|Leningradskaya Oblast;г. Санкт-Петербург и Ленинградская область
 Lipetskaya Oblast;Липецкая область
 Magadanskaya Oblast;Магаданская область 
 Mari|Mari-El|Republic of Mari El|Mariyskaya A.S.S.R.|Respublika Mariy El;Республика Марий Эл
 Mordov|Mordvian Autonomous Republic|Mordvinia|Republic of Mordovia|Mordovian A.S.S.R.;Республика Мордовия
 null|;г. Москва и Московская область
 Mosca|Moscou|Moscow|Moskau|Moskova|Moskovskaya;г. Москва и Московская область
 Murmanskaya Oblast;Мурманская область
 Nenetskiy A.Okr.|Nenetskiy Aok;Архангельская область и Ненецкий
