region;production_volume;production_price;consumption_volume;production_consumption_difference;
Карачаево-Черкесская Республика;512.2;639.7378;1427.7;-915.5;
Республика Карелия;5467.9;6829.4071;7813.6;-2345.7;
Кемеровская область;20432.3;16570.5953;31293;-10860.7;
Хабаровский край и Еврейский АО;8309.1;6738.6801;10541.1;-2232;
Республика Хакасия;30086;24399.746;16586.6;13499.4;
Тюменская область, Ханты-Мансийский, Ямало-Ненецкий АО;92537.1;115578.8379;86083.1;6454;
Кировская область;4113.1;5137.2619;6989.1;-2876;
Республика Коми;9669.4;12077.0806;8573.5;1095.9;
Костромская область;10356;12934.644;3387.8;6968.2;
Республика Адыгея и Краснодарский край;10627.1;13273.2479;27419.3;-16792.2;
Республика Адыгея и Краснодарский край;10627.1;13273.2479;27419.3;-16792.2;
Республика Алтай и Алтайский край;5786;4692.446;10391.3;-4605.3;
Амурская область;16405;13304.455;9123.9;7281.1;
Архангельская область и Ненецкий;6294;7861.206;7280.4;-986.4;
Астраханская область;4139.3;5169.9857;4167.2;-27.8999999999996;
Республика Башкортостан;24607.9;30735.2671;25569.8;-961.899999999998;
Белгородская область;751.5;938.6235;15936.6;-15185.1;
Брянская область;44.4;55.4556;4208.7;-4164.3;
Республика Бурятия;4809.6;3900.5856;5512.6;-703;
Чеченская Республика;1314.3;1641.5607;3069.6;-1755.3;
Челябинская область;25528.6;31885.2214;35509.6;-9981;
Чукотский АО ;NULL;NULL;NULL;NULL;
Чувашская Республика;4520.1;5645.6049;4844.4;-324.299999999999;
г. Санкт-Петербург и Ленинградская область;59829.9;74727.5451;45248.8;14581.1;
Республика Дагестан;3765.9;4703.6091;6884.9;-3119;
Республика Алтай и Алтайский край;5786;4692.446;10391.3;-4605.3;
Республика Ингушетия;0;0;825.3;-825.3;
Ивановская область;1454.1;1816.1709;3351.2;-1897.1;
Кабардино-Балкарская Республика;531.1;663.3439;1712.5;-1181.4;
Калининградская область;6392.7;7984.4823;4361.8;2030.9;
Республика Калмыкия;263.4;328.9866;734;-470.6;
Калужская область;213.1;266.1619;7070.5;-6857.4;
Курганская область;2551;3186.199;4212.6;-1661.6;
Курская область;27638.5;34520.4865;8621.3;19017.2;
г. Санкт-Петербург и Ленинградская область;59829.9;74727.5451;45248.8;14581.1;
Липецкая область;5480.5;6845.1445;13171.6;-7691.1;
Магаданская область ;NULL;NULL;NULL;NULL;
Республика Марий Эл;887.6;1108.6124;2897.6;-2010;
Республика Мордовия;1382.1;1726.2429;3289.8;-1907.7;
г. Москва и Московская область;65729.7;82096.3953;106229.5;-40499.8;
г. Москва и Московская область;65729.7;82096.3953;106229.5;-40499.8;
Мурманская область;16492.8;20599.5072;12379.5;4113.3;
Архангельская область и Ненецкий;6294;7861.206;7280.4;-986.4;
Нижегородская область;11014.2;13756.7358;19477.8;-8463.6;
Республика Северная Осетия-Алания;764.7;955.1103;1708.2;-943.5;
Новгородская область;2002.9;2501.6221;4325.9;-2323;
Новосибирская область;12361.7;10025.3387;15963.3;-3601.6;
Омская область;5817.2;4717.7492;10350.3;-4533.1;
Орловская область;1089.7;1361.0353;2727.7;-1638;
Оренбургская область;10980.9;13715.1441;15140.9;-4160;
Пензенская область;1006.4;1256.9936;4706.8;-3700.4;
Приморский край;10816.6;8772.2626;13535.9;-2719.3;
Псковская область;166;207.334;2177;-2011;
Ростовская область;42829.2;53493.6708;18515.8;24313.4;
Рязанская область;4247.1;5304.6279;6481.2;-2234.1;
Республика Саха (Якутия);8368.4;6786.7724;7493.8;874.599999999999;
Сахалинская область;NULL;NULL;NULL;NULL;
Самарская область;23620.9;29502.5041;22342.4;1278.5;
Саратовская область;40841.1;51010.5339;12460.8;28380.3;
Смоленская область;24606.9;30734.0181;6328.2;18278.7;
Ставропольский край;13158.5;16434.9665;10233.7;2924.8;
Свердловская область;56417.8;70465.8322;41347.5;15070.3;
Тамбовская область;828.2;1034.4218;3437.3;-2609.1;
Республика Татарстан;23775.9;29696.0991;29076.7;-5300.8;
Томская область;2946.5;2389.6115;7611;-4664.5;
Тульская область;5105.3;6376.5197;10265.8;-5160.5;
Красноярский край и Республика Тыва;57825.6;46896.5616;47494.1;10331.5;
Тверская область;35734.5;44632.3905;7953.6;27780.9;
Тюменская область, Ханты-Мансийский, Ямало-Ненецкий АО;92537.1;115578.8379;86083.1;6454;
Удмуртская Республика;3526.6;4404.7234;9057.2;-5530.6;
Ульяновская область;2318.7;2896.0563;5456.6;-3137.9;
Владимирская область;1930.5;2411.1945;6784.5;-4854;
Волгоградская область;18462.8;23060.0372;16057.1;2405.7;
Вологодская область;10211.8;12754.5382;13908.9;-3697.1;
Воронежская область;28376.9;35442.7481;11978;16398.9;
Тюменская область, Ханты-Мансийский, Ямало-Ненецкий АО;92537.1;115578.8379;86083.1;6454;
Ярославская область;6967.1;8701.9079;8051.2;-1084.1;
Хабаровский край и Еврейский АО;8309.1;6738.6801;10541.1;-2232;
Республика Крым и г. Севастополя;6492.7;8109.3823;7920.7;-1428;
Республика Крым и г. Севастополя;6492.7;8109.3823;7920.7;-1428;
Красноярский край и Республика Тыва;57825.6;46896.5616;47494.1;10331.5;
Иркутская область;59688.1;48407.0491;55976.4;3711.7;
Забайкальский край;7260.2;5888.0222;8192.2;-932.000000000001;
Камчатский край;NULL;NULL;NULL;NULL;
Пермский край;26505.4;33105.2446;22398;4107.4;
